,xk,wk,uk,xkp1,wkp1,fL_k,fU_k,gL_k,gU_k,fBL_k,fBU_k
6292,[1.96189099],[-2.85222212],[25.8791398],[1.90484655],[-2.2270645],[-3.29091701],[-1.56245915],[0.01632653],[0.048],[-4.77891701],[-1.80291701]
6293,[-3.8860345],[2.48350452],[14.64899462],[-3.83636441],[2.46277998],[2.15427864],[3.45142861],[0.01632653],[0.048],[0.66627864],[3.64227864]
6294,[0.86838929],[4.22119738],[-6.43154797],[0.95281324],[3.3777446],[3.4756754],[6.413032],[0.01632653],[0.048],[1.9876754],[4.9636754]
6295,[0.14926467],[-4.68634401],[-4.72007727],[0.05553779],[-4.11478248],[-5.47120955],[-2.37883933],[0.01632653],[0.048],[-6.95920955],[-3.98320955]
6296,[3.97328022],[4.01060092],[-18.47437525],[4.05349224],[3.250609],[3.57804173],[5.28232495],[0.01632653],[0.048],[2.09004173],[5.06604173]
6297,[0.04846041],[2.12370022],[-12.27191677],[0.09093442],[1.71792273],[1.9576662],[2.61184021],[0.01632653],[0.048],[0.4696662],[3.4456662]
6298,[-4.91878642],[4.96986647],[1.27270755],[-4.81938909],[4.02587787],[3.9506942],[7.96623293],[0.01632653],[0.048],[2.4626942],[5.4386942]
6299,[-0.25789833],[-2.82707338],[14.49983946],[-0.3144398],[-2.22510329],[-3.0620724],[-2.13617626],[0.01632653],[0.048],[-4.5500724],[-1.5740724]
6300,[-4.01931794],[2.3990554],[16.01963796],[-3.97133684],[2.40300893],[2.06859414],[3.37061153],[0.01632653],[0.048],[0.58059414],[3.55659414]
6301,[3.72729423],[-2.74019716],[-27.42612513],[3.67249028],[-2.96573893],[-2.90834131],[-2.24585338],[0.01632653],[0.048],[-4.39634131],[-1.42034131]
6302,[-4.61461449],[2.99215971],[-20.82241486],[-4.5547713],[2.08659396],[2.51333677],[4.39989914],[0.01632653],[0.048],[1.02533677],[4.00133677]
6303,[-3.8533268],[4.49754993],[2.24465207],[-3.7633758],[3.77511683],[3.68748304],[6.87914656],[0.01632653],[0.048],[2.19948304],[5.17548304]
6304,[-3.94184879],[3.89744517],[15.51269221],[-3.86389988],[3.59969781],[3.25029178],[5.80007613],[0.01632653],[0.048],[1.76229178],[4.73829178]
6305,[-3.54153589],[-2.76460558],[6.89707961],[-3.596828],[-2.44835134],[-3.09614988],[-1.78986533],[0.01632653],[0.048],[-4.58414988],[-1.60814988]
6306,[-4.30319899],[-2.64321303],[-29.2567494],[-4.35606325],[-3.20040211],[-3.04110336],[-1.47341546],[0.01632653],[0.048],[-4.52910336],[-1.55310336]
6307,[3.87735758],[-1.31852602],[-1.62656407],[3.85098706],[-1.16924205],[-1.2677017],[-1.46794955],[0.01632653],[0.048],[-2.7557017],[0.2202983]
6308,[4.24634864],[4.68153797],[25.39687534],[4.3399794],[4.67788018],[4.07382826],[6.46820452],[0.01632653],[0.048],[2.58582826],[5.56182826]
6309,[-2.49976998],[-0.07261954],[-10.6462046],[-2.50122237],[-0.17969633],[0.02576967],[-0.36188382],[0.01632653],[0.048],[-1.46223033],[1.51376967]
6310,[-2.26854651],[-1.50999398],[-3.32161608],[-2.29874639],[-1.36109765],[-1.46181757],[-1.65163264],[0.01632653],[0.048],[-2.94981757],[0.02618243]
6311,[-4.24521993],[-3.46366654],[-13.49738996],[-4.31449326],[-3.52853619],[-4.03022822],[-1.79797521],[0.01632653],[0.048],[-5.51822822],[-2.54222822]
6312,[-2.49160881],[-4.48904404],[-21.81549355],[-2.58138969],[-4.18512642],[-5.08442929],[-2.73861139],[0.01632653],[0.048],[-6.57242929],[-3.59642929]
6313,[-0.53964344],[0.69720378],[8.52301393],[-0.52569936],[0.9574977],[0.7647144],[0.49872256],[0.01632653],[0.048],[-0.7232856],[2.2527144]
6314,[-4.17893046],[-0.43657446],[-24.8780633],[-4.18766195],[-1.10844075],[-0.5905593],[0.01614098],[0.01632653],[0.048],[-2.0785593],[0.8974407]
6315,[-0.9402747],[-0.83660478],[10.66908625],[-0.9570068],[-0.4421718],[-0.72694428],[-1.15900668],[0.01632653],[0.048],[-2.21494428],[0.76105572]
6316,[2.8125115],[-3.0240605],[-22.64561392],[2.75203029],[-3.26208591],[-3.39625304],[-1.92981445],[0.01632653],[0.048],[-4.88425304],[-1.90825304]
6317,[1.19910663],[1.81041721],[17.449188],[1.23531498],[1.89501077],[1.53804941],[2.61117857],[0.01632653],[0.048],[0.05004941],[3.02604941]
6318,[-3.02136499],[2.08741756],[-16.02955082],[-2.97961664],[1.63516764],[1.95502789],[2.47664318],[0.01632653],[0.048],[0.46702789],[3.44302789]
6319,[-3.85209852],[-4.51709988],[17.59776789],[-3.94244052],[-3.62117043],[-5.33308857],[-2.11809311],[0.01632653],[0.048],[-6.82108857],[-3.84508857]
6320,[-1.40973218],[-0.38247591],[23.55990658],[-1.4173817],[0.29718035],[-0.2234994],[-0.84986684],[0.01632653],[0.048],[-1.7114994],[1.2645006]
6321,[0.02035874],[4.26067902],[-11.00170372],[0.10557232],[3.45172207],[3.62880126],[6.11839964],[0.01632653],[0.048],[2.14080126],[5.11680126]
6322,[-3.29875391],[3.96136488],[-14.3618629],[-3.21952661],[3.13064352],[3.3914251],[5.63698782],[0.01632653],[0.048],[1.9034251],[4.8794251]
6323,[-0.72198137],[-4.64497668],[-23.88241269],[-0.8148809],[-4.33190728],[-5.28010164],[-2.77770928],[0.01632653],[0.048],[-6.76810164],[-3.79210164]
6324,[1.28358321],[-4.14562991],[29.00720314],[1.20067061],[-3.17496148],[-4.90233064],[-1.92092979],[0.01632653],[0.048],[-6.39033064],[-3.41433064]
6325,[4.49084557],[-4.19590818],[18.74149465],[4.40692741],[-3.06123224],[-4.64106738],[-2.88714011],[0.01632653],[0.048],[-6.12906738],[-3.15306738]
6326,[1.43213539],[-3.25968819],[21.3318476],[1.36694163],[-2.6633646],[-3.79538712],[-1.68473336],[0.01632653],[0.048],[-5.28338712],[-2.30738712]
6327,[3.24886642],[2.62376383],[-10.60786048],[3.3013417],[2.20135097],[2.40205158],[3.27559784],[0.01632653],[0.048],[0.91405158],[3.89005158]
6328,[-3.34339345],[-0.88011372],[-24.73954921],[-3.36099572],[-1.40539603],[-0.94291782],[-0.69546968],[0.01632653],[0.048],[-2.43091782],[0.54508218]
6329,[-4.24196675],[0.92632874],[9.88658316],[-4.22344017],[0.93632257],[0.74421136],[1.46175385],[0.01632653],[0.048],[-0.74378864],[2.23221136]
6330,[-0.13423465],[2.38366507],[-13.21049385],[-0.08656135],[1.95519462],[2.20793116],[2.90032276],[0.01632653],[0.048],[0.71993116],[3.69593116]
6331,[1.20630801],[3.95671866],[-14.36804029],[1.28544239],[2.98430711],[3.25697886],[6.01395366],[0.01632653],[0.048],[1.76897886],[4.74497886]
6332,[-0.66839532],[2.79886522],[-24.32191338],[-0.61241801],[2.16131673],[2.63079343],[3.29299629],[0.01632653],[0.048],[1.14279343],[4.11879343]
6333,[-0.59946173],[-0.73450716],[11.79784381],[-0.61415188],[-0.36796298],[-0.66035092],[-0.95252651],[0.01632653],[0.048],[-2.14835092],[0.82764908]
6334,[1.78766091],[4.89681234],[0.00980007],[1.88559716],[3.9489329],[3.90287206],[7.81899677],[0.01632653],[0.048],[2.41487206],[5.39087206]
6335,[0.14284571],[3.69711847],[16.77097361],[0.21678808],[3.58600236],[3.19936518],[5.16051314],[0.01632653],[0.048],[1.71136518],[4.68736518]
6336,[-1.01387384],[1.66285006],[10.15672178],[-0.98061684],[1.94657476],[1.70821717],[1.52947076],[0.01632653],[0.048],[0.22021717],[3.19621717]
6337,[1.87881571],[-1.87441507],[-23.83275941],[1.84132741],[-2.43635084],[-2.15849272],[-1.03922678],[0.01632653],[0.048],[-3.64649272],[-0.67049272]
6338,[-4.51622059],[2.99850236],[-19.63162562],[-4.45625054],[2.11896986],[2.52079602],[4.40295899],[0.01632653],[0.048],[1.03279602],[4.00879602]
6339,[-2.34066715],[-0.53246237],[0.45939202],[-2.3513164],[-0.3774759],[-0.42355894],[-0.85263844],[0.01632653],[0.048],[-1.91155894],[1.06444106]
6340,[3.42112995],[-0.02003571],[-29.26118447],[3.42072924],[-0.57470937],[0.02413433],[-0.14989561],[0.01632653],[0.048],[-1.46386567],[1.51213433]
6341,[3.70787762],[-4.42224934],[28.49395171],[3.61943264],[-3.1033922],[-5.00867673],[-2.69815283],[0.01632653],[0.048],[-6.49667673],[-3.52067673]
6342,[0.60727159],[4.94264327],[-3.99445256],[0.70612446],[3.97573235],[4.00155705],[7.70943675],[0.01632653],[0.048],[2.51355705],[5.48955705]
6343,[3.53306708],[2.5827263],[-10.4631613],[3.58472161],[2.22180644],[2.41463794],[3.07690606],[0.01632653],[0.048],[0.92663794],[3.90263794]
6344,[0.51094159],[2.01134141],[16.3035119],[0.55116842],[2.1319127],[1.78709219],[2.67063409],[0.01632653],[0.048],[0.29909219],[3.27509219]
6345,[0.11959017],[4.49900929],[0.14499302],[0.20957036],[3.8368298],[3.77844966],[6.6174546],[0.01632653],[0.048],[2.29044966],[5.26644966]
6346,[4.37031273],[-4.74154218],[-25.00284813],[4.27548188],[-4.3675328],[-5.36054658],[-2.92166922],[0.01632653],[0.048],[-6.84854658],[-3.87254658]
6347,[-4.67062231],[-2.47267303],[-11.25963855],[-4.72007577],[-2.69942209],[-2.85423586],[-1.3508783],[0.01632653],[0.048],[-4.34223586],[-1.36623586]
6348,[-0.6772014],[4.6520268],[-16.74266806],[-0.58416087],[3.73332386],[4.00886804],[6.54291355],[0.01632653],[0.048],[2.52086804],[5.49686804]
6349,[-2.24199954],[1.18252126],[-2.52804688],[-2.21834912],[1.23080492],[1.26393804],[0.94315595],[0.01632653],[0.048],[-0.22406196],[2.75193804]
6350,[-3.39682135],[1.33784329],[15.01020337],[-3.37006449],[1.5433923],[1.23125438],[1.65121468],[0.01632653],[0.048],[-0.25674562],[2.71925438]
6351,[-1.8581826],[4.82030254],[1.75904744],[-1.76177655],[4.29554618],[4.1781754],[6.70815632],[0.01632653],[0.048],[2.6901754],[5.6661754]
6352,[-3.62691398],[4.04688003],[-23.39036237],[-3.54597638],[2.94857403],[3.40108397],[5.94552043],[0.01632653],[0.048],[1.91308397],[4.88908397]
6353,[-3.25110838],[-3.68280925],[28.58515059],[-3.32476456],[-2.67390831],[-4.17134853],[-2.24650373],[0.01632653],[0.048],[-5.65934853],[-2.68334853]
6354,[-4.50021829],[-0.85994629],[-21.66418828],[-4.51741721],[-1.47002855],[-1.05249956],[-0.29383969],[0.01632653],[0.048],[-2.54049956],[0.43550044]
6355,[-1.01623025],[-1.63844452],[22.49331226],[-1.04899914],[-0.92664242],[-1.59008894],[-1.78060991],[0.01632653],[0.048],[-3.07808894],[-0.10208894]
6356,[3.32803817],[-2.62847032],[13.08871102],[3.27546877],[-2.09880978],[-2.83784068],[-2.01292148],[0.01632653],[0.048],[-4.32584068],[-1.34984068]
6357,[0.29706272],[-0.32963319],[-0.67915222],[0.29047005],[-0.3975107],[-0.38501831],[-0.16680093],[0.01632653],[0.048],[-1.87301831],[1.10298169]
6358,[-4.25896779],[-0.63145388],[-20.03528206],[-4.27159687],[-1.20321232],[-0.79900439],[-0.1388554],[0.01632653],[0.048],[-2.28700439],[0.68899561]
6359,[-0.23855424],[0.91962111],[-13.50250332],[-0.22016182],[0.6584083],[0.92796015],[0.89510432],[0.01632653],[0.048],[-0.56003985],[2.41596015]
6360,[-2.93812093],[0.11703905],[20.67284022],[-2.93578015],[0.5822754],[0.14830732],[0.02511034],[0.01632653],[0.048],[-1.33969268],[1.63630732]
6361,[0.96548394],[2.98906217],[19.31948237],[1.02526519],[2.95327294],[2.5400143],[4.30926293],[0.01632653],[0.048],[1.0520143],[4.0280143]
6362,[3.0577819],[1.39587254],[28.64773061],[3.08569935],[1.91168927],[1.31224953],[1.64172419],[0.01632653],[0.048],[-0.17575047],[2.80024953]
6363,[-3.81744794],[-1.31544868],[-27.87528769],[-3.84375691],[-1.95575353],[-1.48286049],[-0.82325796],[0.01632653],[0.048],[-2.97086049],[0.00513951]
6364,[2.43813617],[1.43709243],[-3.94095975],[2.46687802],[1.16607053],[1.25454376],[1.97378554],[0.01632653],[0.048],[-0.23345624],[2.74254376]
6365,[-0.2358788],[-1.61593006],[-20.00756912],[-0.2681974],[-1.90742567],[-1.66892479],[-1.46012555],[0.01632653],[0.048],[-3.15692479],[-0.18092479]
6366,[0.24544544],[3.83149235],[-24.76694518],[0.32207529],[2.80500743],[3.2818886],[5.4473274],[0.01632653],[0.048],[1.7938886],[4.7698886]
6367,[-1.45090731],[-4.12862967],[0.34550423],[-1.53347991],[-3.39210477],[-4.55156256],[-2.88520699],[0.01632653],[0.048],[-6.03956256],[-3.06356256]
6368,[-2.06111351],[-2.11399031],[-15.23766065],[-2.10339331],[-2.12189968],[-2.12178148],[-2.09108428],[0.01632653],[0.048],[-3.60978148],[-0.63378148]
6369,[-2.70486015],[2.50079136],[9.10197964],[-2.65484432],[2.56801662],[2.35405071],[2.93220888],[0.01632653],[0.048],[0.86605071],[3.84205071]
6370,[2.09437915],[-4.9154903],[-14.9654833],[1.99606934],[-4.61799352],[-5.8971238],[-2.02948782],[0.01632653],[0.048],[-7.3851238],[-4.4091238]
6371,[-1.60922808],[-0.06531746],[5.43989593],[-1.61053443],[0.23559173],[0.10061418],[-0.55315651],[0.01632653],[0.048],[-1.38738582],[1.58861418]
6372,[-3.28493687],[1.22982485],[-22.84860974],[-3.26034038],[0.67708011],[1.15127367],[1.46076534],[0.01632653],[0.048],[-0.33672633],[2.63927367]
6373,[1.83082304],[-1.78825204],[-2.17976906],[1.795058],[-1.91239172],[-2.06371071],[-0.97840356],[0.01632653],[0.048],[-3.55171071],[-0.57571071]
6374,[2.08573899],[-4.20242758],[-19.93185096],[2.00169044],[-4.2163175],[-4.96053249],[-1.97359915],[0.01632653],[0.048],[-6.44853249],[-3.47253249]
6375,[-1.47954831],[1.67491001],[27.12831877],[-1.44605011],[2.33697364],[1.74365257],[1.47280688],[0.01632653],[0.048],[0.25565257],[3.23165257]
6376,[-4.92951756],[-0.63756315],[-16.00433322],[-4.94226882],[-1.14132773],[-0.81845209],[-0.10574966],[0.01632653],[0.048],[-2.30645209],[0.66954791]
6377,[-4.35975017],[-2.33738277],[-9.54502462],[-4.40649783],[-2.53709331],[-2.68627755],[-1.31163213],[0.01632653],[0.048],[-4.17427755],[-1.19827755]
6378,[-3.97465383],[3.71110851],[23.60528237],[-3.90043166],[3.62276038],[3.10907071],[5.48109962],[0.01632653],[0.048],[1.62107071],[4.59707071]
6379,[-1.06782269],[-2.10976106],[-11.69490173],[-1.11001791],[-2.04794245],[-2.11795232],[-2.08567875],[0.01632653],[0.048],[-3.60595232],[-0.62995232]
6380,[3.15171716],[-3.43276918],[-23.15582591],[3.08306177],[-3.53462357],[-3.83981783],[-2.23604615],[0.01632653],[0.048],[-5.32781783],[-2.35181783]
6381,[2.767952],[-1.72414956],[-1.41134032],[2.73346901],[-1.72502388],[-1.89050194],[-1.23507355],[0.01632653],[0.048],[-3.37850194],[-0.40250194]
6382,[-3.02449966],[1.75970742],[-1.93596082],[-2.98930551],[1.6402746],[1.67027802],[2.02262985],[0.01632653],[0.048],[0.18227802],[3.15827802]
6383,[1.85075487],[3.58066852],[-29.80721492],[1.92236824],[2.37085946],[2.97418291],[5.36373623],[0.01632653],[0.048],[1.48618291],[4.46218291]
6384,[2.82901356],[0.13227813],[-24.51028291],[2.83165912],[-0.43819155],[0.0775431],[0.29319912],[0.01632653],[0.048],[-1.4104569],[1.5655431]
6385,[2.50675589],[-0.82655008],[15.86899826],[2.49022489],[-0.58397685],[-0.9523619],[-0.45666333],[0.01632653],[0.048],[-2.4403619],[0.5356381]
6386,[-4.44849384],[3.89035089],[11.33013085],[-4.37068682],[3.46188136],[3.20333739],[5.91017058],[0.01632653],[0.048],[1.71533739],[4.69133739]
6387,[4.27618854],[-3.58321558],[1.84924184],[4.20452422],[-2.96440363],[-3.87564185],[-2.72348234],[0.01632653],[0.048],[-5.36364185],[-2.38764185]
6388,[0.86541987],[2.9540597],[-21.08913666],[0.92450107],[2.09583076],[2.52245896],[4.22296585],[0.01632653],[0.048],[1.03445896],[4.01045896]
6389,[-4.21309057],[-3.6686224],[-11.12610291],[-4.28646301],[-3.63469358],[-4.2830882],[-1.86209295],[0.01632653],[0.048],[-5.7710882],[-2.7950882]
6390,[1.99134249],[2.64185988],[23.36111104],[2.04417969],[2.73314844],[2.24498756],[3.80866451],[0.01632653],[0.048],[0.75698756],[3.73298756]
6391,[-4.70188588],[4.49656318],[-29.81529015],[-4.61195462],[3.04411922],[3.62836217],[7.04907416],[0.01632653],[0.048],[2.14036217],[5.11636217]
6392,[-4.54445324],[-1.69096785],[-27.96190446],[-4.5782726],[-2.36617486],[-1.95804635],[-0.90575707],[0.01632653],[0.048],[-3.44604635],[-0.47004635]
6393,[1.39136821],[-4.40942596],[13.72475913],[1.30317969],[-3.68919606],[-5.24816409],[-1.94353586],[0.01632653],[0.048],[-6.73616409],[-3.76016409]
6394,[-4.10787071],[4.34294934],[-8.07875053],[-4.02101172],[3.41792545],[3.55143874],[6.66999052],[0.01632653],[0.048],[2.06343874],[5.03943874]
6395,[0.2256206],[-1.55957238],[-9.03153265],[0.19442915],[-1.71425218],[-1.6834743],[-1.19530071],[0.01632653],[0.048],[-3.1714743],[-0.1954743]
6396,[2.13457701],[-2.08042139],[1.19691028],[2.09296859],[-2.07488674],[-2.37445178],[-1.21597204],[0.01632653],[0.048],[-3.86245178],[-0.88645178]
6397,[2.27165085],[-1.95262789],[-2.32277134],[2.2325983],[-2.02129447],[-2.21524036],[-1.18054725],[0.01632653],[0.048],[-3.70324036],[-0.72724036]
6398,[-3.81919506],[-3.76289775],[-18.83965926],[-3.89445301],[-3.81930234],[-4.35923286],[-2.00967253],[0.01632653],[0.048],[-5.84723286],[-2.87123286]
6399,[2.82453653],[4.73405251],[-14.55163268],[2.91921758],[3.65617761],[3.90620749],[7.16791687],[0.01632653],[0.048],[2.41820749],[5.39420749]
6400,[2.48010803],[0.24928012],[-21.66727367],[2.48509364],[-0.32063995],[0.14130927],[0.5667144],[0.01632653],[0.048],[-1.34669073],[1.62930927]
6401,[2.7575407],[0.55093426],[28.62646993],[2.76855939],[1.06430829],[0.47501508],[0.77413662],[0.01632653],[0.048],[-1.01298492],[1.96301508]
6402,[-4.18613],[4.59840676],[-11.24704561],[-4.09416186],[3.52695276],[3.72104957],[7.17783692],[0.01632653],[0.048],[2.23304957],[5.20904957]
6403,[2.64881666],[3.83774973],[-2.69106377],[2.72557166],[3.22142354],[3.24771815],[5.57244259],[0.01632653],[0.048],[1.75971815],[4.73571815]
6404,[-3.30690333],[1.58738611],[-5.58861063],[-3.2751556],[1.35756118],[1.47043324],[1.93122757],[0.01632653],[0.048],[-0.01756676],[2.95843324]
6405,[-3.92188627],[2.86939041],[18.3877295],[-3.86449846],[2.85580316],[2.46454978],[4.05962184],[0.01632653],[0.048],[0.97654978],[3.95254978]
6406,[-4.55162346],[-0.52648432],[-20.74375874],[-4.56215314],[-1.13406235],[-0.70469721],[-0.00253844],[0.01632653],[0.048],[-2.19269721],[0.78330279]
6407,[3.42629402],[3.4688076],[-17.27993537],[3.49567017],[2.77617056],[3.09880483],[4.55661574],[0.01632653],[0.048],[1.61080483],[4.58680483]
6408,[1.7860821],[0.92074681],[15.30365422],[1.80449704],[1.02829312],[0.7245706],[1.49750487],[0.01632653],[0.048],[-0.7634294],[2.2125706]
6409,[4.7829097],[-2.53963384],[-13.32543123],[4.73211703],[-2.4242751],[-2.59631021],[-2.37300532],[0.01632653],[0.048],[-4.08431021],[-1.10831021]
6410,[-2.46737313],[2.66448121],[21.03974227],[-2.4140835],[2.99119293],[2.52250105],[3.08190288],[0.01632653],[0.048],[1.03450105],[4.01050105]
6411,[-1.3200943],[-2.19753303],[-20.38734176],[-1.36404496],[-2.28657707],[-2.20316213],[-2.18098345],[0.01632653],[0.048],[-3.69116213],[-0.71516213]
6412,[4.63316853],[3.08277109],[-9.09890244],[4.69482395],[2.7774124],[2.92065729],[3.55938565],[0.01632653],[0.048],[1.43265729],[4.40865729]
6413,[-1.43236564],[0.04561684],[8.93975165],[-1.43145331],[0.41771951],[0.21013625],[-0.43807023],[0.01632653],[0.048],[-1.27786375],[1.69813625]
6414,[3.26477839],[0.56065957],[21.2501806],[3.27599158],[1.0134327],[0.56821261],[0.53845364],[0.01632653],[0.048],[-0.91978739],[2.05621261]
6415,[-4.17269923],[-2.17833955],[11.19899195],[-4.21626602],[-1.9538387],[-2.4888811],[-1.2653474],[0.01632653],[0.048],[-3.9768811],[-1.0008811]
6416,[-2.01237791],[1.41610702],[-24.42695175],[-1.98405577],[1.012608],[1.49697814],[1.17834594],[0.01632653],[0.048],[0.00897814],[2.98497814]
6417,[1.30923731],[-2.98634372],[-1.97722061],[1.24951043],[-2.92509067],[-3.45904069],[-1.59661461],[0.01632653],[0.048],[-4.94704069],[-1.97104069]
6418,[-0.4636025],[1.04866271],[29.74864969],[-0.44262925],[1.71857554],[1.08377674],[0.94542746],[0.01632653],[0.048],[-0.40422326],[2.57177674]
6419,[-3.4744747],[1.9739563],[20.20616517],[-3.43499558],[2.20656832],[1.78218416],[2.53776638],[0.01632653],[0.048],[0.29418416],[3.27018416]
6420,[4.12684933],[2.79359655],[27.94251903],[4.18272126],[3.2812445],[2.66255028],[3.17887259],[0.01632653],[0.048],[1.17455028],[4.15055028]
6421,[-4.16739763],[4.52042912],[-7.36481735],[-4.07698904],[3.55416515],[3.66920865],[7.02301727],[0.01632653],[0.048],[2.18120865],[5.15720865]
6422,[-0.57732897],[-4.37512094],[4.30326412],[-0.66483139],[-3.57504218],[-4.94568296],[-2.69766861],[0.01632653],[0.048],[-6.43368296],[-3.45768296]
6423,[-0.99136177],[-0.73709252],[25.65355141],[-1.00610362],[-0.03034869],[-0.61713485],[-1.08976807],[0.01632653],[0.048],[-2.10513485],[0.87086515]
6424,[1.41685089],[3.83746561],[1.06191691],[1.4936002],[3.20510676],[3.16070747],[5.82713453],[0.01632653],[0.048],[1.67270747],[4.64870747]
6425,[3.25118237],[0.04318142],[23.99772357],[3.252046],[0.56053883],[0.05923655],[-0.00402064],[0.01632653],[0.048],[-1.42876345],[1.54723655]
6426,[-2.54484289],[-4.63048533],[4.73316213],[-2.63745259],[-3.74114531],[-5.27764293],[-2.72784199],[0.01632653],[0.048],[-6.76564293],[-3.78964293]
6427,[2.94415303],[-2.40618291],[-6.10392125],[2.89602937],[-2.38309197],[-2.64124519],[-1.71509979],[0.01632653],[0.048],[-4.12924519],[-1.15324519]
6428,[-2.63096828],[4.45349585],[-0.1291526],[-2.54189836],[3.90823404],[3.84945138],[6.2293866],[0.01632653],[0.048],[2.36145138],[5.33745138]
6429,[0.79808698],[-0.51281268],[3.75896744],[0.78783073],[-0.56225069],[-0.64485411],[-0.12461087],[0.01632653],[0.048],[-2.13285411],[0.84314589]
6430,[-2.47115235],[4.78075186],[-25.11800482],[-2.37553731],[3.64436985],[4.09482207],[6.79738543],[0.01632653],[0.048],[2.60682207],[5.58282207]
6431,[2.82373308],[3.85809109],[-28.81069163],[2.9008949],[2.72331775],[3.28971326],[5.52912191],[0.01632653],[0.048],[1.80171326],[4.77771326]
6432,[-4.7946533],[-0.44185428],[-14.09046857],[-4.80349039],[-0.91598743],[-0.61884367],[0.07849455],[0.01632653],[0.048],[-2.10684367],[0.86915633]
6433,[0.78620133],[-3.13247294],[-0.87918251],[0.72355187],[-2.9724747],[-3.59248049],[-1.78005075],[0.01632653],[0.048],[-5.08048049],[-2.10448049]
6434,[3.14850155],[-3.62254338],[-20.94607266],[3.07605068],[-3.63634951],[-4.07631502],[-2.28845475],[0.01632653],[0.048],[-5.56431502],[-2.58831502]
6435,[-1.85875365],[3.53500848],[-12.99925958],[-1.78805348],[3.04548053],[3.26325859],[4.33395319],[0.01632653],[0.048],[1.77525859],[4.75125859]
6436,[0.48857946],[-2.2473692],[-1.52910807],[0.44363207],[-2.20837785],[-2.50298091],[-1.49587077],[0.01632653],[0.048],[-3.99098091],[-1.01498091]
6437,[-1.28228789],[3.69665453],[-23.273177],[-1.2083548],[2.95744731],[3.3845588],[4.61421599],[0.01632653],[0.048],[1.8965588],[4.8725588]
6438,[3.79743982],[-4.46996638],[-6.72142728],[3.70804049],[-3.85660046],[-5.05867164],[-2.73917292],[0.01632653],[0.048],[-6.54667164],[-3.57067164]
6439,[4.07101542],[-4.71430025],[26.1920218],[3.97672941],[-3.30918559],[-5.34814419],[-2.85079905],[0.01632653],[0.048],[-6.83614419],[-3.86014419]
6440,[3.06978927],[0.58536548],[-23.95741834],[3.08149658],[0.0601652],[0.55914635],[0.66244975],[0.01632653],[0.048],[-0.92885365],[2.04714635]
6441,[4.54600281],[-4.24788654],[-8.2976689],[4.46104508],[-3.65990322],[-4.7063925],[-2.89987902],[0.01632653],[0.048],[-6.1943925],[-3.2183925]
6442,[-3.50156011],[3.65430898],[10.86085438],[-3.42847393],[3.3862783],[3.13204218],[5.18977339],[0.01632653],[0.048],[1.64404218],[4.62004218]
6443,[-4.35770248],[-4.75527247],[-22.39169087],[-4.45280793],[-4.67548837],[-5.69555014],[-1.99085611],[0.01632653],[0.048],[-7.18355014],[-4.20755014]
6444,[-2.52754699],[-0.76630857],[-26.20443498],[-2.54287317],[-1.18270213],[-0.69177963],[-0.98542366],[0.01632653],[0.048],[-2.17977963],[0.79622037]
6445,[1.60153977],[-0.84359202],[-1.06940165],[1.58466793],[-1.03063832],[-1.03888347],[-0.26943517],[0.01632653],[0.048],[-2.52688347],[0.44911653]
6446,[-3.84047315],[1.02598253],[3.30438953],[-3.8199535],[0.93862493],[0.87894889],[1.45826144],[0.01632653],[0.048],[-0.60905111],[2.36694889]
6447,[4.03877043],[4.68242225],[-17.9944667],[4.13241888],[3.75435429],[4.05558955],[6.52531038],[0.01632653],[0.048],[2.56758955],[5.54358955]
6448,[0.30654179],[0.68798298],[13.40717101],[0.32030145],[0.89748612],[0.61849498],[0.89227773],[0.01632653],[0.048],[-0.86950502],[2.10649498]
6449,[-3.38135249],[3.2617124],[17.68350407],[-3.31611825],[3.24362516],[2.85243807],[4.46497892],[0.01632653],[0.048],[1.36443807],[4.34043807]
6450,[-2.23369112],[2.80352445],[2.91268463],[-2.17762063],[2.76002599],[2.66294475],[3.21682878],[0.01632653],[0.048],[1.17494475],[4.15094475]
6451,[1.20576857],[-1.38700314],[26.58194155],[1.1780285],[-0.94878123],[-1.61307956],[-0.72233846],[0.01632653],[0.048],[-3.10107956],[-0.12507956]
6452,[-2.44457968],[-4.23833372],[-25.06085346],[-2.52934636],[-4.0648522],[-4.7520562],[-2.72798963],[0.01632653],[0.048],[-6.2400562],[-3.2640562]
6453,[-2.83330086],[-4.94561977],[2.67553179],[-2.93221326],[-4.05110793],[-5.74042949],[-2.60887919],[0.01632653],[0.048],[-7.22842949],[-4.25242949]
6454,[-4.52822374],[4.77301279],[-11.71229713],[-4.43276349],[3.61826866],[3.81926542],[7.57703003],[0.01632653],[0.048],[2.33126542],[5.30726542]
6455,[1.09184274],[-0.52982071],[-22.10860859],[1.08124632],[-1.14847182],[-0.69136651],[-0.05487605],[0.01632653],[0.048],[-2.17936651],[0.79663349]
6456,[-2.93671226],[-2.86432003],[0.81906062],[-2.99399866],[-2.54525097],[-3.11532588],[-2.12636284],[0.01632653],[0.048],[-4.60332588],[-1.62732588]
6457,[-3.45516444],[-2.81149414],[16.6169634],[-3.51139432],[-2.26943073],[-3.13842228],[-1.85032541],[0.01632653],[0.048],[-4.62642228],[-1.65042228]
