,xk,wk,uk,xkp1,wkp1,fL_k,fU_k,gL_k,gU_k,fBL_k,fBU_k
108,[3.66197834],[0.03434127],[9.70654265],[3.66266517],[0.32747074],[0.11577734],[-0.20508077],[0.01632653],[0.048],[-1.37222266],[1.60377734]
109,[2.65172093],[-4.96491554],[13.49944585],[2.55242262],[-3.9845114],[-5.89674174],[-2.2253465],[0.01632653],[0.048],[-7.38474174],[-4.40874174]
110,[-0.61660584],[-2.29266027],[29.30962633],[-0.66245905],[-1.40877383],[-2.37882166],[-2.03934578],[0.01632653],[0.048],[-3.86682166],[-0.89082166]
111,[2.9182791],[0.23115081],[16.17576219],[2.92290212],[0.52209629],[0.18967733],[0.35308285],[0.01632653],[0.048],[-1.29832267],[1.67767733]
112,[2.73079734],[-4.24700694],[-5.21997771],[2.6458572],[-3.8534202],[-4.9387365],[-2.21332205],[0.01632653],[0.048],[-6.4267365],[-3.4507365]
113,[-3.63202857],[2.13662436],[9.10387952],[-3.58929608],[2.09002516],[1.8974823],[2.83970201],[0.01632653],[0.048],[0.4094823],[3.3854823]
114,[-2.89800507],[4.05614864],[20.15451696],[-2.81688209],[3.99398219],[3.52701608],[5.61179838],[0.01632653],[0.048],[2.03901608],[5.01501608]
115,[-2.63452842],[-1.10623372],[25.90988346],[-2.65665309],[-0.43496201],[-1.06892104],[-1.215933],[0.01632653],[0.048],[-2.55692104],[0.41907896]
116,[3.25575553],[2.2733863],[9.98283974],[3.30122326],[2.33534053],[2.11201002],[2.74783257],[0.01632653],[0.048],[0.62401002],[3.60001002]
117,[4.19372214],[2.8469621],[-26.32457014],[4.25066138],[2.20270894],[2.71144278],[3.2453889],[0.01632653],[0.048],[1.22344278],[4.19944278]
118,[-4.90129168],[1.64269677],[-14.21835013],[-4.86843774],[1.07701577],[1.38179567],[2.40974602],[0.01632653],[0.048],[-0.10620433],[2.86979567]
119,[0.93930482],[2.73245555],[-11.51486626],[0.99395394],[2.10485692],[2.33660473],[3.89625695],[0.01632653],[0.048],[0.84860473],[3.82460473]
120,[-1.9455048],[2.21265951],[-26.86744157],[-1.90125161],[1.67137808],[2.19830499],[2.25486179],[0.01632653],[0.048],[0.71030499],[3.68630499]
121,[2.12905773],[-4.32833983],[-4.25402014],[2.04249094],[-3.97757189],[-5.11976144],[-2.0015603],[0.01632653],[0.048],[-6.60776144],[-3.63176144]
122,[-0.90849959],[-4.41049834],[3.79928287],[-0.99670956],[-3.56490601],[-4.95086642],[-2.82181616],[0.01632653],[0.048],[-6.43886642],[-3.46286642]
123,[-0.57837839],[-3.30912116],[-24.36747109],[-0.64456082],[-3.36646854],[-3.59700194],[-2.46275165],[0.01632653],[0.048],[-5.08500194],[-2.10900194]
124,[3.05946964],[-1.4835267],[-13.86689666],[3.02979911],[-1.71488469],[-1.57557161],[-1.21291465],[0.01632653],[0.048],[-3.06357161],[-0.08757161]
125,[0.45777797],[4.3642073],[10.41604956],[0.54506212],[3.89302752],[3.63048607],[6.52134771],[0.01632653],[0.048],[2.14248607],[5.11848607]
126,[4.19825084],[-1.91349081],[27.79751363],[4.15998103],[-1.05389772],[-1.89536216],[-1.96678902],[0.01632653],[0.048],[-3.38336216],[-0.40736216]
127,[1.22056302],[4.75717653],[6.59364021],[1.31570655],[3.99757272],[3.81601508],[7.52419118],[0.01632653],[0.048],[2.32801508],[5.30401508]
128,[1.19838067],[1.30212691],[24.87942548],[1.22442321],[1.59178562],[1.08437164],[1.94232742],[0.01632653],[0.048],[-0.40362836],[2.57237164]
129,[-2.18569792],[0.16538323],[28.46310486],[-2.18239026],[0.90857785],[0.29977635],[-0.22973251],[0.01632653],[0.048],[-1.18822365],[1.78777635]
130,[0.02433504],[1.52212089],[-5.0426045],[0.05477746],[1.34118427],[1.4357979],[1.77591047],[0.01632653],[0.048],[-0.0522021],[2.9237979]
131,[-3.26776784],[-1.8511466],[27.44071759],[-3.30479077],[-1.19225931],[-1.99285689],[-1.43451835],[0.01632653],[0.048],[-3.48085689],[-0.50485689]
132,[-4.13285005],[4.20978379],[-9.31540244],[-4.04865438],[3.29276865],[3.45520752],[6.428238],[0.01632653],[0.048],[1.96720752],[4.94320752]
133,[0.22272951],[2.59295992],[-12.7305723],[0.27458871],[2.07467467],[2.32152423],[3.39098085],[0.01632653],[0.048],[0.83352423],[3.80952423]
134,[-1.07297258],[2.15468349],[-5.9830712],[-1.02987891],[2.04823114],[2.1403011],[2.19696773],[0.01632653],[0.048],[0.6523011],[3.6283011]
135,[-1.92486589],[-1.29698248],[11.54593981],[-1.95080554],[-0.82631884],[-1.1992525],[-1.58430863],[0.01632653],[0.048],[-2.6872525],[0.2887475]
136,[0.57736012],[-4.49764354],[10.09621803],[0.48740725],[-3.74722288],[-5.28965215],[-2.16913823],[0.01632653],[0.048],[-6.77765215],[-3.80165215]
137,[4.56415665],[0.4177048],[-28.07308363],[4.57251075],[0.01331757],[0.57604208],[-0.04780681],[0.01632653],[0.048],[-0.91195792],[2.06404208]
138,[-2.4760037],[3.26573734],[23.46922483],[-2.41068896],[3.52805947],[2.99963517],[4.04807773],[0.01632653],[0.048],[1.51163517],[4.48763517]
139,[2.44083578],[2.71576893],[-23.38546721],[2.49515116],[1.87132716],[2.35041236],[3.78991725],[0.01632653],[0.048],[0.86241236],[3.83841236]
140,[0.43091229],[0.65239578],[-20.62593471],[0.4439602],[0.13350148],[0.56501608],[0.90929209],[0.01632653],[0.048],[-0.92298392],[2.05301608]
141,[-3.84000736],[-4.66956591],[0.23206967],[-3.93339868],[-4.08853527],[-5.53231267],[-2.13309044],[0.01632653],[0.048],[-7.02031267],[-4.04431267]
142,[-4.26138855],[-0.24284732],[-28.73950109],[-4.2662455],[-1.00672983],[-0.39885729],[0.215822],[0.01632653],[0.048],[-1.88685729],[1.08914271]
143,[-4.94885979],[4.80630318],[22.78820992],[-4.85273372],[4.36222107],[3.84339648],[7.6372489],[0.01632653],[0.048],[2.35539648],[5.33139648]
144,[-0.7637193],[-4.40670409],[16.2877875],[-0.85185338],[-3.32080801],[-4.96225901],[-2.77337262],[0.01632653],[0.048],[-6.45025901],[-3.47425901]
145,[2.71779503],[1.24165112],[-28.66282321],[2.74262805],[0.51683935],[1.11686742],[1.6085152],[0.01632653],[0.048],[-0.37113258],[2.60486742]
146,[-1.96481005],[3.73611959],[-11.45742979],[-1.89008766],[3.22516765],[3.40795882],[4.70091222],[0.01632653],[0.048],[1.91995882],[4.89595882]
147,[-4.40396893],[3.12379193],[-20.31240929],[-4.3414931],[2.21064132],[2.62434806],[4.59215689],[0.01632653],[0.048],[1.13634806],[4.11234806]
148,[4.89813189],[4.31428668],[10.76217129],[4.98441763],[4.12976028],[3.83559999],[5.72162553],[0.01632653],[0.048],[2.34759999],[5.32359999]
149,[-4.01353075],[4.701302],[-26.85227731],[-3.91950471],[3.29294254],[3.80764239],[7.32866123],[0.01632653],[0.048],[2.31964239],[5.29564239]
150,[-2.95213043],[-0.69494871],[-6.51612756],[-2.9660294],[-0.77743553],[-0.6821811],[-0.73248548],[0.01632653],[0.048],[-2.1701811],[0.8058189]
151,[-4.19146794],[-0.23731021],[12.09267376],[-4.19621414],[-0.1454929],[-0.38772643],[0.20491349],[0.01632653],[0.048],[-1.87572643],[1.10027357]
152,[-4.71147623],[4.11934032],[6.43203392],[-4.62908942],[3.52462885],[3.36323122],[6.34230108],[0.01632653],[0.048],[1.87523122],[4.85123122]
153,[-2.84687552],[4.97835615],[14.63682991],[-2.74730839],[4.54510313],[4.17015671],[7.35446252],[0.01632653],[0.048],[2.68215671],[5.65815671]
154,[-4.11458724],[-4.51116207],[29.84557615],[-4.20481048],[-3.39531032],[-5.35468348],[-2.03120912],[0.01632653],[0.048],[-6.84268348],[-3.86668348]
155,[0.88022838],[-1.03197353],[13.96344067],[0.85958891],[-0.85369335],[-1.20092193],[-0.53526524],[0.01632653],[0.048],[-2.68892193],[0.28707807]
156,[-3.84343427],[4.87930269],[1.95325334],[-3.74584822],[4.03810267],[3.94703662],[7.62016492],[0.01632653],[0.048],[2.45903662],[5.43503662]
157,[-4.73637004],[-0.28823969],[0.0942875],[-4.74213483],[-0.47127649],[-0.4618822],[0.22226928],[0.01632653],[0.048],[-1.9498822],[1.0261178]
158,[1.82289038],[3.91107877],[23.00260063],[1.90111195],[3.71976195],[3.21798037],[5.94878804],[0.01632653],[0.048],[1.72998037],[4.70598037]
159,[-1.13834343],[1.05200676],[-6.25559415],[-1.11730329],[1.05795384],[1.16452436],[0.72120504],[0.01632653],[0.048],[-0.32347564],[2.65252436]
160,[-4.07060644],[1.05542066],[-26.83182354],[-4.04949802],[0.30994198],[0.87970417],[1.57202713],[0.01632653],[0.048],[-0.60829583],[2.36770417]
161,[-1.46188677],[-2.75895252],[-26.14809581],[-1.51706582],[-2.87406391],[-2.85629021],[-2.47277971],[0.01632653],[0.048],[-4.34429021],[-1.36829021]
162,[-4.98230635],[1.18205251],[18.85428488],[-4.9586653],[1.34956539],[0.9691355],[1.80802854],[0.01632653],[0.048],[-0.5188645],[2.4571355]
163,[2.12171676],[-1.75174074],[-28.31445177],[2.08668194],[-2.40163841],[-2.00347346],[-1.01164652],[0.01632653],[0.048],[-3.49147346],[-0.51547346]
164,[0.2557735],[-1.70060984],[0.2241457],[0.2217613],[-1.65354714],[-1.84530572],[-1.27520394],[0.01632653],[0.048],[-3.33330572],[-0.35730572]
165,[3.6194818],[3.13284107],[1.20422019],[3.68213862],[2.92922812],[2.86950793],[3.9070405],[0.01632653],[0.048],[1.38150793],[4.35750793]
166,[-0.20297895],[4.13717993],[-12.01893496],[-0.12023535],[3.38171589],[3.57847515],[5.77977197],[0.01632653],[0.048],[2.09047515],[5.06647515]
167,[-0.94307031],[0.59803131],[-13.71078236],[-0.93110969],[0.4546556],[0.71977428],[0.24010698],[0.01632653],[0.048],[-0.76822572],[2.20777428]
